Kilo_Secs_B	rel_flux_T1(mag)	rel_flux_err_T1(mag)
0	-0.00049908	0.006828976
0.073004553	0.090661177	0.0062065
0.145008588	0.064395281	0.006440098
0.217012623	0.005877805	0.006555611
0.290016291	-0.02988706	0.006743255
0.362020326	-0.038713868	0.006584141
0.434024361	-0.054041954	0.006693329
0.507028913	-0.047512383	0.006602312
0.579032949	-0.01260011	0.006437255
0.651036984	-0.006845828	0.00634768
0.724040651	0.001006567	0.006361568
0.796044686	0.020508076	0.006262433
0.869049239	0.063902481	0.006011385
0.941053274	0.036399227	0.006245658
1.013057309	-0.017333326	0.006628053
1.086061822	-0.032567214	0.006580305
1.158065857	-0.041172473	0.006423671
1.230069892	-0.041955045	0.006542576
1.302073927	-0.047688789	0.006499875
1.375077635	0.001388738	0.006323521
1.44708163	0.044072353	0.006211164
1.519085665	0.046752673	0.006180398
1.592090218	0.038665408	0.006041037
1.711096734	-0.008848735	0.006157636
1.783100769	-0.017797576	0.006358024
1.855104804	-0.03060381	0.006365247
1.928109317	-0.042806218	0.006282054
2.000113352	-0.019799553	0.006249885
2.072117387	0.008851948	0.006495195
2.145121054	-0.004461849	0.006581331
2.217125089	0.047715447	0.005899242
2.290129642	0.055882514	0.005774005
2.362133677	0.012518518	0.006019452
2.434137712	-0.006997079	0.00602918
2.506141748	-0.022853583	0.005983052
2.5791463	-0.035822777	0.006156916
2.651150335	-0.032757165	0.006190843
2.724154003	-0.020601205	0.006122175
2.796158038	0.025217775	0.006035157
2.868162073	0.03586492	0.006035505
2.941166626	0.029846404	0.006091193
3.013170661	0.054019653	0.005810458
3.085174656	0.045511178	0.005796049
3.158179209	0.004068842	0.005839743
3.230183244	-0.030523093	0.005906966
3.302187279	-0.032572094	0.005954575
3.375190946	-0.02991187	0.00598524
3.447194982	-0.029973703	0.006000801
3.520199534	0.026301139	0.005664355
3.592203569	0.025096848	0.005663072
3.664207605	0.023055429	0.005729013
3.737211272	0.008445085	0.005727801
3.809215307	0.023958383	0.005715282
3.88221986	0.011609513	0.005797972
3.954223895	-0.015715262	0.005901771
4.027227563	-0.027734683	0.005859596
4.099232483	-0.024126639	0.005921059
4.171236478	-0.020190247	0.005849557
4.244240186	0.052253282	0.005595366
4.316244221	0.059736909	0.005462776
4.389248773	0.031246607	0.005605605
4.461252768	0.017249843	0.005527381
4.533256803	0.001392169	0.005664014
4.606260511	-0.017787581	0.005748881
4.678264546	-0.025526229	0.005797332
4.751269059	-0.026734232	0.005773524
4.823273094	-0.036554555	0.005828756
4.895277129	-0.049194999	0.005880773
4.968281682	0.033769682	0.00556003
5.040285717	0.048498142	0.005489932
5.113289385	0.0339513	0.005520047
5.18529342	0.012911944	0.005623564
5.257297455	-0.005942368	0.005725218
5.330302007	-0.025589275	0.005729934
5.402306043	-0.032546181	0.005756443
5.474310078	-0.041148122	0.00586817
5.547313745	-0.037943694	0.005831213
5.61931778	-0.019877146	0.005766651
5.69132266	0.058325269	0.005410867
5.764326368	0.060127075	0.005439094
5.836330403	0.027528433	0.00561169
5.908334398	0.007794464	0.005644641
6.053342986	-0.016725332	0.005826777
6.125347021	-0.01200432	0.005758084
6.198350689	-0.013995838	0.005884379
6.270354724	-0.02816798	0.005839242
6.343359277	-0.029757006	0.00584677
6.415363312	0.015682197	0.005641855
6.487367347	0.038081082	0.005637774
6.560371014	0.030160184	0.005661636
6.632375935	0.004698107	0.005750531
6.70437997	-0.010298448	0.005786862
6.777383637	-0.008016427	0.00583517
6.849387673	-0.027928064	0.005858786
6.921391708	-0.00473824	0.005842635
6.99439626	0.00776709	0.00576701
7.066400255	0.018311547	0.005729241
7.13840429	0.037040856	0.005685507
7.211407998	0.040897132	0.005673676
7.283412033	0.045232563	0.005623865
7.355416068	0.004589356	0.005839217
7.428420581	-0.025620208	0.005971002
7.500424616	-0.032348155	0.005948737
7.572428651	-0.034694164	0.006039435
7.645433204	-0.024550445	0.005928966
7.717437239	-0.004180653	0.005890365
7.790440907	0.023106348	0.005755719
7.862444942	-0.000680458	0.006500583
7.934448977	-0.00594943	0.006665425
8.00745353	0.013423107	0.006866331
8.079457565	-9.51E-05	0.007066891
8.152461232	-0.010917251	0.007227593
8.224465267	-0.01225296	0.006505544
8.296470147	-0.026804448	0.006629296
8.369473855	-0.006260857	0.00724509
8.44147789	0.022679025	0.006654243
8.514482403	0.019294674	0.006452388
8.586486438	0.031415899	0.006475952
8.658490473	0.023738067	0.006425028
8.731494181	-0.012497572	0.00663941
8.803498176	-0.028417647	0.006657508
8.876502728	-0.030797125	0.006419801
8.948506764	-0.042024902	0.006857669
9.020510799	-0.02024228	0.006723503
9.093514466	0.00679181	0.006480536
9.165519387	0.071386344	0.006303318
9.238523054	0.047363871	0.006555702
9.310527089	0.030340299	0.006421939
9.382531124	0.017048073	0.006458951
9.455535677	-0.018190113	0.006871393
9.527539712	-0.035106206	0.006964446
9.599543747	-0.036288096	0.006964338
9.672547415	-0.033821717	0.007008778
10.03356807	0.013124222	0.006472467
10.10657262	-0.00094587	0.006787607
10.17857666	-0.01498524	0.006898139
10.25058069	-0.034051899	0.006892702
10.32358436	-0.046003932	0.007400919
10.39558839	-0.031977985	0.007257791
10.46759243	-0.041798671	0.007670805
