Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,N_Src_Pixels_C2,N_Sky_Pixels_C2,N_Src_Pixels_C3,N_Sky_Pixels_C3,N_Src_Pixels_C4,N_Sky_Pixels_C4,N_Src_Pixels_C5,N_Sky_Pixels_C5,N_Src_Pixels_C6,N_Sky_Pixels_C6
GD358-001_cal.fit,1,0,60347.84431,2460347.844,2460347.844,2460347.843,2460347.844,-1,-25.23189375,-24.96875,20,16.7884425,32.47579444,15.87978857,16,37,61,0.1407433,0.365296955,0.377945434,0.107749276,0.276487535,0.168621057,0.001953984,0.003341575,0.003409355,0.00202469,0.002859691,0.002312147,72.02889172,109.3188035,110.8554114,53.21765998,96.68442306,72.92833372,185875.653,802.1138084,2141.886974,1788.972791,2142.386974,2307.527209,26160.75287,804.2477193,345.2074531,75.78270003,221.6145782,32.52822761,102.2811198,6199,15.46200334,18.22949255,18.74385588,17.71512922,338.3329391,0.993990259,2263.751394,3177.050405,2264.251394,919.449595,49732.63124,373.8423171,133.0310373,292.3433838,61.83745386,99.270443,16.74791118,18.31599911,18.68736478,17.94463344,333.0969055,0.995288293,3806.787784,2699.162309,3807.287784,1397.337691,50982.3195,373.5450388,136.4823896,279.6011658,63.39131374,97.53256672,15.61397276,18.57080312,18.47138594,18.67022031,307.0834921,0.998460082,2278.596502,2651.205516,2279.096502,1445.294484,18079.87376,330.4812622,54.70771213,183.1750183,22.48047874,100.2680441,15.56007004,17.97548446,18.20380324,17.74716568,323.698796,0.992783983,404.1676178,763.9954305,404.6676178,3332.504569,40260.71521,366.7399478,109.7800102,254.6800232,50.06009249,103.7680811,15.73939928,18.42736968,18.94168825,17.91305111,338.2299426,0.994079281,537.8044416,618.4939921,538.3044416,3478.006008,26820.11331,346.9532153,77.30181513,213.4898529,33.34807505,103.3011768,16.15537482,18.20990864,18.98056797,17.43924932,348.5444473,0.991586202,804.2477193,6350,804.2477193,6285,804.2477193,6223,804.2477193,6269,804.2477193,6424
GD358-002_cal.fit,2,0,60347.8483,2460347.848,2460347.848,2460347.847,2460347.848,-1,-25.36300985,-24.96875,60,16.7884425,32.47579444,16.12854401,16,37,61,0.127764743,0.363428439,0.371428076,0.115125838,0.27227217,0.170093193,0.000946246,0.001652988,0.001672456,0.001011531,0.001399802,0.001143129,135.022728,219.8614988,222.0853915,113.8134389,194.5076509,148.7961376,707372.3982,1510.188087,2147.25158,1796.022102,2147.75158,2300.477898,90377.25276,804.2477193,640.9353331,141.0083796,687.7909546,112.3748947,352.9433219,6256,16.20394199,17.99763635,18.76710958,17.22816313,348.3440488,0.991362264,2268.707118,3183.199782,2269.207118,913.3002185,188553.5312,707.3422996,266.5661749,1026.153687,234.4470822,343.1837728,16.63157092,17.970321,18.62059042,17.32005158,343.5994556,0.99260625,3812.013153,2705.783334,3812.513153,1390.716666,191579.8382,705.8668065,271.4107484,1008.603943,238.2099863,337.8218456,16.76936427,18.28497122,18.55413281,18.01580963,341.9050488,0.998669873,2283.898983,2657.692214,2284.398983,1438.807786,73029.28285,621.7886583,117.4503296,636.1969604,90.80446372,345.4005271,16.16358587,17.92409585,18.51890892,17.32928278,339.212005,0.992145858,409.3827701,770.6185092,409.8827701,3325.881491,151380.9878,686.7363166,220.43539,934.1757813,188.2268164,353.6596586,15.57515137,17.79965168,18.53943432,17.05986903,346.2999679,0.991264227,542.9199223,624.8687068,543.4199223,3471.631293,102828.7581,651.044605,157.9442597,741.1421509,127.8570715,353.6469915,15.42764962,17.84514268,18.59437942,17.09590594,347.7139554,0.991504649,804.2477193,6218,804.2477193,6261,804.2477193,6253,804.2477193,6404,804.2477193,6261
GD358-003_cal.fit,3,0,60347.85126,2460347.851,2460347.851,2460347.85,2460347.851,-1,-25.46302948,-24.96875,60,16.7884425,32.47579444,13.54066901,16,37,61,0.135205863,0.358705547,0.382108009,0.113782932,0.27152923,0.167982382,0.000853087,0.001468788,0.001529659,0.000897463,0.001249926,0.001014571,158.4901463,244.2187779,249.7994598,126.7829229,217.2362268,165.5698141,839119.782,1602.460861,2151.257411,1797.886681,2151.757411,2298.613319,113453.9143,804.2477193,682.266371,166.2897647,969.3369751,141.0683694,387.5101788,6219,14.00836749,16.92286297,17.69401502,16.15171092,343.0016971,0.987966071,2272.920885,3185.626196,2273.420885,910.8738037,221532.1199,751.7639091,294.6831009,1448.464355,275.4525932,378.2224443,13.75278081,16.9088888,17.76124138,16.05653622,339.555395,0.982305136,3816.195248,2708.285917,3816.695248,1388.214083,231989.3864,755.5917402,307.0300721,1446.829224,288.4551375,374.6192067,13.66942626,17.11103085,17.55451826,16.66754345,330.9662658,0.990408059,2287.800945,2660.0367,2288.300945,1436.4633,85723.62383,655.3526237,130.8053416,803.4941406,106.5885818,379.858615,13.35010539,16.85488133,17.65742401,16.05233865,343.6822933,0.987269933,412.9368659,772.3056741,413.4368659,3324.194326,179190.1775,728.1223755,246.098985,1234.355957,222.8047071,386.8625313,13.64556886,16.80917816,17.78543819,15.83291812,345.0141838,0.982140731,546.5185825,626.4144596,547.0185825,3470.08554,120684.4743,687.1416902,175.6325894,991.6713867,150.0588331,386.9426497,12.81776526,16.66524149,17.56434636,15.76613663,343.3798244,0.983452696,804.2477193,6216,804.2477193,6450,804.2477193,6434,804.2477193,6293,804.2477193,6225
GD358-004_cal.fit,4,0,60347.85211,2460347.852,2460347.852,2460347.851,2460347.852,-1,-25.4919719,-24.96875,60,16.7884425,32.47579444,14.01984274,16,37,61,0.147048171,0.361455109,0.378845401,0.115609497,0.269649777,0.167872961,0.000842993,0.001436121,0.001480206,0.000875422,0.001211461,0.000984882,174.4358073,251.6884995,255.9409384,132.0614309,222.5822498,170.4498787,872349.8912,1620.198587,2150.930212,1797.47732,2151.430212,2299.02268,128277.4556,804.2477193,695.7220556,184.3803206,958.2332153,159.4999309,392.5870555,6358,13.99998573,17.03976829,17.83850823,16.24102835,344.1938433,0.98793434,2272.205076,3184.836801,2272.705076,911.6631985,231601.7055,761.2513924,304.2381371,1466.329224,287.9730957,383.6909981,14.23256938,17.06431962,17.83147198,16.29716726,341.5411909,0.987403362,3815.438385,2707.55129,3815.938385,1388.94871,239682.9578,764.2385893,313.6232077,1465.305298,298.0213087,380.0191995,14.26329067,17.08666387,17.61068971,16.56263803,336.7304687,0.992063403,2287.161296,2659.650081,2287.661296,1436.849919,90400.74728,662.8546554,136.3809495,834.2774658,112.4041077,385.5258301,13.71352101,17.05630108,17.96890338,16.14369879,346.0023989,0.985396336,412.7990086,772.3282583,413.2990086,3324.171742,185270.74,735.7517339,251.8114895,1232.69812,230.3652663,392.542474,14.15841534,16.9119591,17.80365353,16.02026467,344.8282326,0.985152295,546.4572034,626.611032,546.9572034,3469.888968,125393.7405,693.3774222,180.8448567,1020.380127,155.9143253,391.8473553,13.75127431,16.85784567,17.76461612,15.95107522,350.7634555,0.987209381,804.2477193,6324,804.2477193,6356,804.2477193,6420,804.2477193,6303,804.2477193,6311
GD358-005_cal.fit,5,0,60347.85294,2460347.853,2460347.853,2460347.852,2460347.853,-1,-25.52069973,-25,60,16.7884425,32.47579444,15.39216983,16,37,61,0.143533498,0.359942723,0.379267911,0.115167012,0.269891563,0.168965652,0.000853906,0.001455216,0.001505009,0.000890623,0.001230632,0.001004056,168.0904919,247.3466662,252.0036945,129.3106399,219.3113631,168.283135,866110.3832,1634.92646,2150.230852,1797.090483,2150.730852,2299.409517,124315.8527,804.2477193,701.3598172,177.2497506,908.4819336,154.5740817,405.5386776,6342,15.8128052,17.5729756,18.37337197,16.77257922,346.2627791,0.989501672,2271.936759,3184.755421,2272.436759,911.7445789,229237.6908,767.4153048,298.7139941,1356.012817,285.0336847,396.1924755,15.47014264,17.39867201,18.23719734,16.56014668,343.2938954,0.986727511,3815.493423,2707.586021,3815.993423,1388.913979,238161.037,770.7949046,308.9810733,1323.464844,296.1289553,392.3729732,15.615876,17.52492571,18.03676086,17.01309056,335.1574547,0.991862809,2286.888362,2659.309767,2287.388362,1437.190233,89446.10434,670.053374,133.491014,764.8769531,111.2171066,397.0727131,14.59383596,17.51948822,18.17315166,16.86582477,341.5064195,0.991296912,411.8412717,771.396765,412.3412717,3325.103235,184075.4691,741.5036155,248.2462193,1133.247925,228.8790689,403.8877421,15.31403499,17.61411815,18.51753504,16.71070127,353.3622506,0.988950068,545.5293389,625.8100737,546.0293389,3470.689926,125190.0819,700.8097883,178.6363205,913.9622192,155.6610966,403.0551252,15.54632416,17.52979672,18.31255754,16.7470359,351.0771075,0.991232709,804.2477193,6254,804.2477193,6294,804.2477193,6404,804.2477193,6395,804.2477193,6250
GD358-006_cal.fit,6,0,60347.85377,2460347.854,2460347.853,2460347.853,2460347.854,-1,-25.54960752,-24.96875,60,16.7884425,32.47579444,14.89662983,16,37,61,0.136002308,0.362906612,0.383074804,0.116649114,0.265314326,0.16632575,0.000823658,0.0014284,0.001480777,0.000872425,0.001191188,0.000974477,165.1199007,254.0651463,258.6985659,133.7067014,222.730937,170.682114,895964.1763,1651.577359,2150.92866,1796.606422,2151.42866,2299.893578,121853.1959,804.2477193,702.9532783,173.3446584,922.5679932,151.5120192,410.1430294,6263,14.81586377,17.79472562,18.62956618,16.95988506,352.7445499,0.990647357,2272.671432,3184.532354,2273.171432,911.9676459,238571.9763,775.7368247,307.5424148,1318.341797,296.6399165,400.7964042,15.18062637,17.55697261,18.33736792,16.7765773,346.7119234,0.990158307,3816.665134,2707.636889,3817.165134,1388.863111,248158.162,780.57944,317.9153194,1373.406982,308.5593605,398.400047,15.24964369,17.53325719,18.00884891,17.05766548,337.8461517,0.994261146,2287.577208,2659.192532,2288.077208,1437.307468,93595.58557,677.5993964,138.1282009,776.9320068,116.3765632,402.7475461,14.24000452,17.50373016,18.01984099,16.98761932,337.3424691,0.99297959,412.8910886,771.2388532,413.3910886,3325.261147,187868.0472,747.5130887,251.3240906,1144.868774,233.5947528,409.2797748,15.3089124,17.46903652,18.39805189,16.54002115,350.3983817,0.987386324,546.533145,625.5087534,547.033145,3470.991247,127770.4053,706.2004885,180.926532,971.2627563,158.8694655,408.8794533,14.58472822,17.36178668,18.17276975,16.5508036,351.0839997,0.990411171,804.2477193,6357,804.2477193,6338,804.2477193,6268,804.2477193,6353,804.2477193,6292
GD358-007_cal.fit,7,0,60347.85462,2460347.855,2460347.854,2460347.854,2460347.855,-1,-25.57909986,-24.96875,60,16.7884425,32.47579444,15.21935458,16,37,61,0.131595286,0.362822135,0.383790499,0.114631203,0.266242752,0.167296909,0.000819851,0.00143122,0.001484876,0.000870539,0.001194214,0.000977883,160.5112433,253.5055043,258.4663702,131.6783565,222.9439322,171.0806781,898649.7498,1659.146497,2151.706424,1796.615247,2152.206424,2299.884753,118258.0713,804.2477193,703.6639714,168.0604324,909.8226318,147.0418485,415.8324439,6347,14.63063028,17.76611424,18.50491964,17.02730884,356.4861387,0.993001826,2273.039747,3184.00262,2273.539747,912.4973796,239246.203,779.9871863,306.7309402,1332.616577,297.4782486,406.4051327,15.45958104,17.77741192,18.52507544,17.02974841,352.2228314,0.992403595,3816.832959,2707.068941,3817.332959,1389.431059,249238.0429,784.2071906,317.8216751,1351.211426,309.9020823,403.35709,15.52116738,17.79700924,18.22718414,17.36683435,344.0018712,0.996754569,2288.007026,2658.828263,2288.507026,1437.671737,92419.18002,680.078242,135.8949225,775.6715698,114.9138229,408.0762528,15.83290373,17.72236938,18.44675486,16.99798391,353.3547792,0.992967878,413.2593955,771.0411959,413.7593955,3325.458804,188951.9066,750.3955169,251.8030857,1183.771729,234.9424215,413.0017326,14.8954811,17.63768663,18.44662255,16.82875071,356.4367412,0.991490265,547.1312323,625.419952,547.6312323,3471.080048,128794.4172,709.7931546,181.4534508,930.3710327,160.1427199,413.403667,14.97636397,17.68649902,18.67635562,16.69664242,354.6152427,0.987098526,804.2477193,6228,804.2477193,6322,804.2477193,6312,804.2477193,6374,804.2477193,6298
GD358-008_cal.fit,8,0,60347.85545,2460347.855,2460347.855,2460347.855,2460347.855,-1,-25.60836806,-24.96875,60,16.7884425,32.47579444,15.01324418,16,37,61,0.130529781,0.36413794,0.384856995,0.116102024,0.263436478,0.166354127,0.000793966,0.001394708,0.001447595,0.00084688,0.001154603,0.000946835,164.4023218,261.0855057,265.8596526,137.0938471,228.1619003,175.6949883,933318.1216,1674.54437,2151.449132,1797.271087,2151.949132,2299.228913,121825.8102,804.2477193,708.0522285,172.0576608,937.2203979,151.4779678,418.5978461,6329,14.98099196,17.65105061,18.41803558,16.88406564,357.7581978,0.992429644,2273.080239,3184.98817,2273.580239,911.5118305,249136.4898,788.1014376,316.1223644,1405.126587,309.7758114,410.0394127,15.06244719,17.6656253,18.4525235,16.8787271,354.0065802,0.991738362,3816.798931,2708.007201,3817.298931,1388.492799,259372.6347,793.5616595,326.8462275,1431.984985,322.5034134,407.4547752,15.67592222,17.72748662,18.33437814,17.12059509,350.866464,0.994813388,2287.861688,2659.478771,2288.361688,1437.021229,97088.00833,685.613644,141.6074624,803.3433228,120.7190347,411.5574293,14.71051972,17.63812952,18.28660681,16.98965222,354.0835805,0.994371047,413.7226189,772.2693487,414.2226189,3324.230651,194604.195,756.7117748,257.1708298,1233.210083,241.9704655,416.6176422,14.82798797,17.51752183,18.49734449,16.53769917,357.281282,0.98745087,547.2701535,626.6455961,547.7701535,3469.854404,133116.7937,714.5460696,186.2956069,946.8682251,165.5171541,416.0497165,14.82159602,17.59873002,18.66073156,16.53672848,357.8471773,0.985457295,804.2477193,6297,804.2477193,6187,804.2477193,6352,804.2477193,6286,804.2477193,6291
GD358-009_cal.fit,9,0,60347.85628,2460347.856,2460347.856,2460347.855,2460347.856,-1,-25.63781424,-25,60,16.7884425,32.47579444,14.59578655,16,37,61,0.128699949,0.364827119,0.387387588,0.115779867,0.262395733,0.165299354,0.000795858,0.001401226,0.001458429,0.000850592,0.001156498,0.000948313,161.7121522,260.362772,265.6198552,136.1167389,226.8881156,174.308767,933681.6261,1681.186102,2152.056384,1797.16026,2152.556384,2299.33974,120164.7778,804.2477193,710.879653,169.0367382,948.6017456,149.4126435,424.9545343,6342,14.42833192,17.65943733,18.62187762,16.69699704,358.8475184,0.988170108,2273.782554,3184.90979,2274.282554,911.5902104,249579.1392,791.2097064,315.4399361,1421.703247,310.3262008,414.7539846,14.31452284,17.51801376,18.5393162,16.49671132,358.4727973,0.986457883,3817.358381,2707.819002,3817.858381,1388.680998,260703.4083,796.4733713,327.3221901,1437.333008,324.1580946,412.6578442,14.90771219,17.75186653,18.57699687,16.9267362,359.391996,0.991391289,2288.442056,2659.478209,2288.942056,1437.021791,96884.28476,689.2768485,140.5593195,841.2074585,120.4657252,417.0363152,14.41122784,17.5742076,18.58178518,16.56663002,359.6811953,0.98693622,413.7062643,772.0284832,414.2062643,3324.471517,194070.7407,759.4389753,255.5448785,1217.323364,241.3071694,420.7399172,14.61690011,17.4775756,18.59220707,16.36294412,1.452026943,0.983821033,547.3072549,626.0848345,547.8072549,3470.415166,132444.0531,717.0452891,184.7080724,981.4615479,164.6806698,420.5073952,14.89602441,17.55542053,18.69605056,16.4147905,1.203777954,0.983226058,804.2477193,6269,804.2477193,6399,804.2477193,6311,804.2477193,6154,804.2477193,6261
GD358-010_cal.fit,10,0,60347.85713,2460347.857,2460347.857,2460347.856,2460347.857,-1,-25.66785039,-25,60,16.7884425,32.47579444,14.87202733,16,37,61,0.129476277,0.360341207,0.391592838,0.113468546,0.263562552,0.167158501,0.000789738,0.001379744,0.001460034,0.000839699,0.001148918,0.000945114,163.9483234,261.165343,268.2081088,135.1299936,229.4005729,176.8658944,944366.4662,1687.850289,2151.82096,1797.127762,2152.32096,2299.372238,122273.0544,804.2477193,713.0659146,171.4751075,947.7503662,152.0340704,426.1614698,6355,14.77281517,17.60826574,18.5454201,16.67111139,358.832016,0.98871467,2273.451413,3185.130545,2273.951413,911.3694554,250153.5283,793.2493848,315.3529433,1432.051392,311.040395,418.148192,15.16736673,17.61523353,18.67387906,16.556588,358.4750061,0.985615856,3817.083792,2707.954745,3817.583792,1388.545255,265743.7827,802.2070876,331.2658126,1459.097168,330.4252861,415.8711274,15.46273217,17.7670859,18.67025185,16.86391995,356.8187841,0.989589119,2288.572263,2659.826978,2289.072263,1436.673022,96236.11772,690.398537,139.3921229,841.2074585,119.6597956,419.8531919,13.73634624,17.59240216,18.48123083,16.70357349,359.1270051,0.989832017,413.4236211,771.5523995,413.9236211,3324.9476,196982.4412,761.3879484,258.714945,1234.217651,244.927572,422.5426021,15.15741613,17.4431372,18.51754433,16.36873008,356.593116,0.984723776,547.0011789,625.7718633,547.5011789,3470.728137,135250.5963,720.8994752,187.61367,973.4854126,168.1703199,422.2769189,14.93548757,17.48525274,18.48890959,16.48159589,357.3937794,0.986798329,804.2477193,6331,804.2477193,6219,804.2477193,6364,804.2477193,6382,804.2477193,6103
